url,salary_from,salary_to,salary_cur,name,ref
http://hh.ru/,,40000.0,руб.,Швея,https://korolev.hh.ru/vacancy/36853659?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,20000.0,65000.0,руб.,Швея на мебельное производство,https://korolev.hh.ru/vacancy/44396534?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,60000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44862707?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,35000.0,руб.,Швея,https://korolev.hh.ru/vacancy/40152537?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,30000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44805328?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,,,Швея массового пошива,https://korolev.hh.ru/vacancy/44842824?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,37000.0,руб.,"Швея-портной (м. Дубровка, ТРЦ Мозаика)",https://korolev.hh.ru/vacancy/44844996?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,30000.0,45000.0,руб.,Швея-портной в ателье по ремонту одежды,https://korolev.hh.ru/vacancy/44152764?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,50000.0,руб.,Швея,https://korolev.hh.ru/vacancy/43254611?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,35000.0,50000.0,руб.,Швея на производство,https://korolev.hh.ru/vacancy/44847255?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,35000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44770727?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,25000.0,40000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44290384?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,60000.0,руб.,Швея,https://korolev.hh.ru/vacancy/43709582?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,40000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44868986?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,40000.0,руб.,Швея,https://korolev.hh.ru/vacancy/41830568?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,60000.0,80000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44229871?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,35000.0,руб.,Швея на производство,https://korolev.hh.ru/vacancy/42368625?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,40000.0,руб.,Швея 3-5 разряда,https://korolev.hh.ru/vacancy/40531661?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,,,Портной/швея,https://korolev.hh.ru/vacancy/44677377?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,20000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44778430?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,28000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44205070?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,45000.0,55000.0,руб.,Швея на кожгалантерейную фабрику,https://korolev.hh.ru/vacancy/44159484?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,40000.0,руб.,Швея,https://korolev.hh.ru/vacancy/43103455?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,45000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44785450?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,60000.0,120000.0,руб.,Мастер по ремонту одежды/портной/швея,https://korolev.hh.ru/vacancy/44290789?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,70000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/44761486?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,,,Швея,https://korolev.hh.ru/vacancy/44734676?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,47000.0,руб.,Швея-Закройщик по мягкой мебели,https://korolev.hh.ru/vacancy/44849826?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,600.0,1100.0,бел.руб.,Швея,https://korolev.hh.ru/vacancy/44317957?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,45000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44483947?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,40000.0,руб.,Швея,https://korolev.hh.ru/vacancy/38577931?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,,,Швея,https://korolev.hh.ru/vacancy/40701778?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,,,Швея-портной,https://korolev.hh.ru/vacancy/44771294?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,30000.0,35000.0,руб.,Швея на производство,https://korolev.hh.ru/vacancy/44183293?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,24000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44728860?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,30000.0,50000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44681254?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,20000.0,26000.0,руб.,Швея (ученик),https://korolev.hh.ru/vacancy/41770782?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,35000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44603432?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,25000.0,руб.,Швея,https://korolev.hh.ru/vacancy/39143778?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,20000.0,30000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44731861?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,50000.0,руб.,Швея-проработчик (швейное производство) / портной,https://korolev.hh.ru/vacancy/43994013?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,23000.0,24000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44858538?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,30000.0,руб.,Швея на производство спецодежды,https://korolev.hh.ru/vacancy/44290381?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,,,Швея,https://korolev.hh.ru/vacancy/44728435?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,40000.0,80000.0,руб.,Кеттельщица/Кеттельщик (швея),https://korolev.hh.ru/vacancy/44850972?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,20000.0,30000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/43931906?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,50000.0,60000.0,руб.,Швея,https://korolev.hh.ru/vacancy/44629627?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,18000.0,25000.0,руб.,Швея (производство женской одежды),https://korolev.hh.ru/vacancy/44613871?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,65000.0,руб.,Швея-портной,https://korolev.hh.ru/vacancy/43833439?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,60000.0,руб.,Швея/Портной-универсал,https://korolev.hh.ru/vacancy/44537674?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,,30000.0,руб.,Швея-портной INDEVER,https://korolev.hh.ru/vacancy/44032503?query=%D1%88%D0%B2%D0%B5%D1%8F
http://hh.ru/,34000.0,36200.0,руб.,Швея,https://korolev.hh.ru/vacancy/42798704?query=%D1%88%D0%B2%D0%B5%D1%8F
